Werkwoord, Ik, Jij, Hij/Zij/Het, Wij/Jullie/Zij
zijn, ben, bent, is, zijn
hebben, heb, hebt, heeft, hebben
gaan, ga, gaat, gaat, gaan
komen, kom, komt, komt, komen
doen, doe, doet, doet, doen
zijn, ben, bent, is, zijn, was, geweest
hebben, heb, hebt, heeft, hebben, had, gehad
gaan, ga, gaat, gaat, gaan, ging, gegaan
komen, kom, komt, komt, komen, kwam, gekomen
doen, doe, doet, doet, doen, deed, gedaan
zien, zie, ziet, ziet, zien, zag, gezien
worden, word, wordt, wordt, worden, werd, geworden
staan, sta, staat, staat, staan, stond, gestaan
zitten, zit, zit, zit, zitten, zat, gezeten
lopen, loop, loopt, loopt, lopen, liep, gelopen
zijn, ben, bent, is, zijn, was, geweest
hebben, heb, hebt, heeft, hebben, had, gehad
gaan, ga, gaat, gaat, gaan, ging, gegaan
komen, kom, komt, komt, komen, kwam, gekomen
doen, doe, doet, doet, doen, deed, gedaan
zien, zie, ziet, ziet, zien, zag, gezien
worden, word, wordt, wordt, worden, werd, geworden
staan, sta, staat, staat, staan, stond, gestaan
zitten, zit, zit, zit, zitten, zat, gezeten
lopen, loop, loopt, loopt, lopen, liep, gelopen
maken, maak, maakt, maakt, maken, maakte, gemaakt
geven, geef, geeft, geeft, geven, gaf, gegeven
nemen, neem, neemt, neemt, nemen, nam, genomen
blijven, blijf, blijft, blijft, blijven, bleef, gebleven
vinden, vind, vindt, vindt, vinden, vond, gevonden
denken, denk, denkt, denkt, denken, dacht, gedacht
vertellen, vertel, vertelt, vertelt, vertellen, vertelde, verteld
vragen, vraag, vraagt, vraagt, vragen, vroeg, gevraagd
werken, werk, werkt, werkt, werken, werkte, gewerkt
studeren, studeer, studeert, studeert, studeren, studeerde, gestudeerd
reizen, reis, reist, reist, reizen, reisde, gereisd
houden, houd, houdt, houdt, houden, hield, gehouden
kijken, kijk, kijkt, kijkt, kijken, keek, gekeken
kopen, koop, koopt, koopt, kopen, kocht, gekocht
verkopen, verkoop, verkoopt, verkoopt, verkopen, verkocht, verkocht
zijn, ben, bent, is, zijn, was, geweest
hebben, heb, hebt, heeft, hebben, had, gehad
gaan, ga, gaat, gaat, gaan, ging, gegaan
komen, kom, komt, komt, komen, kwam, gekomen
doen, doe, doet, doet, doen, deed, gedaan
zien, zie, ziet, ziet, zien, zag, gezien
worden, word, wordt, wordt, worden, werd, geworden
staan, sta, staat, staat, staan, stond, gestaan
zitten, zit, zit, zit, zitten, zat, gezeten
lopen, loop, loopt, loopt, lopen, liep, gelopen
maken, maak, maakt, maakt, maken, maakte, gemaakt
geven, geef, geeft, geeft, geven, gaf, gegeven
nemen, neem, neemt, neemt, nemen, nam, genomen
blijven, blijf, blijft, blijft, blijven, bleef, gebleven
vinden, vind, vindt, vindt, vinden, vond, gevonden
denken, denk, denkt, denkt, denken, dacht, gedacht
vertellen, vertel, vertelt, vertelt, vertellen, vertelde, verteld
vragen, vraag, vraagt, vraagt, vragen, vroeg, gevraagd
werken, werk, werkt, werkt, werken, werkte, gewerkt
studeren, studeer, studeert, studeert, studeren, studeerde, gestudeerd
reizen, reis, reist, reist, reizen, reisde, gereisd
houden, houd, houdt, houdt, houden, hield, gehouden
kijken, kijk, kijkt, kijkt, kijken, keek, gekeken
kopen, koop, koopt, koopt, kopen, kocht, gekocht
verkopen, verkoop, verkoopt, verkoopt, verkopen, verkocht, verkocht
schrijven, schrijf, schrijft, schrijft, schrijven, schreef, geschreven
leiden, leid, leidt, leidt, leiden, leidde, geleid
vinden, vind, vindt, vindt, vinden, vond, gevonden
ruiken, ruik, ruikt, ruikt, ruiken, rook, geroken
drinken, drink, drinkt, drinkt, drinken, dronk, gedronken
eten, eet, eet, eet, eten, at, gegeten
slapen, slaap, slaapt, slaapt, slapen, sliep, geslapen
lachen, lach, lacht, lacht, lachen, lachte, gelachen
huilen, huil, huilt, huilt, huilen, huilde, gehuild
zoeken, zoek, zoekt, zoekt, zoeken, zocht, gezocht
beginnen, begin, begint, begint, beginnen, begon, begonnen
eindigen, eindig, eindigt, eindigt, eindigen, eindigde, geëindigd
vergeten, vergeet, vergeet, vergeet, vergeten, vergat, vergeten
geloven, geloof, gelooft, gelooft, geloven, geloofde, geloofd
houden, houd, houdt, houdt, houden, hield, gehouden
verliezen, verlies, verliest, verliest, verliezen, verloor, verloren
winnen, win, wint, wint, winnen, won, gewonnen
veranderen, verander, verandert, verandert, veranderen, veranderde, veranderd
houden van, houd van, houdt van, houdt van, houden van, hield van, gehouden van
Werkwoord, Ik, Jij, Hij/Zij/Het, Wij/Jullie/Zij, Verleden Tijd, Voltooid Deelwoord
zijn, ben, bent, is, zijn, was, geweest
hebben, heb, hebt, heeft, hebben, had, gehad
gaan, ga, gaat, gaat, gaan, ging, gegaan
komen, kom, komt, komt, komen, kwam, gekomen
doen, doe, doet, doet, doen, deed, gedaan
zien, zie, ziet, ziet, zien, zag, gezien
worden, word, wordt, wordt, worden, werd, geworden
staan, sta, staat, staat, staan, stond, gestaan
zitten, zit, zit, zit, zitten, zat, gezeten
lopen, loop, loopt, loopt, lopen, liep, gelopen
maken, maak, maakt, maakt, maken, maakte, gemaakt
geven, geef, geeft, geeft, geven, gaf, gegeven
nemen, neem, neemt, neemt, nemen, nam, genomen
blijven, blijf, blijft, blijft, blijven, bleef, gebleven
vinden, vind, vindt, vindt, vinden, vond, gevonden
denken, denk, denkt, denkt, denken, dacht, gedacht
vertellen, vertel, vertelt, vertelt, vertellen, vertelde, verteld
vragen, vraag, vraagt, vraagt, vragen, vroeg, gevraagd
werken, werk, werkt, werkt, werken, werkte, gewerkt
studeren, studeer, studeert, studeert, studeren, studeerde, gestudeerd
reizen, reis, reist, reist, reizen, reisde, gereisd
houden, houd, houdt, houdt, houden, hield, gehouden
kijken, kijk, kijkt, kijkt, kijken, keek, gekeken
kopen, koop, koopt, koopt, kopen, kocht, gekocht
verkopen, verkoop, verkoopt, verkoopt, verkopen, verkocht, verkocht
schrijven, schrijf, schrijft, schrijft, schrijven, schreef, geschreven
leiden, leid, leidt, leidt, leiden, leidde, geleid
ruiken, ruik, ruikt, ruikt, ruiken, rook, geroken
drinken, drink, drinkt, drinkt, drinken, dronk, gedronken
eten, eet, eet, eet, eten, at, gegeten
slapen, slaap, slaapt, slaapt, slapen, sliep, geslapen
lachen, lach, lacht, lacht, lachen, lachte, gelachen
huilen, huil, huilt, huilt, huilen, huilde, gehuild
zoeken, zoek, zoekt, zoekt, zoeken, zocht, gezocht
beginnen, begin, begint, begint, beginnen, begon, begonnen
eindigen, eindig, eindigt, eindigt, eindigen, eindigde, geëindigd
vergeten, vergeet, vergeet, vergeet, vergeten, vergat, vergeten
geloven, geloof, gelooft, gelooft, geloven, geloofde, geloofd
verliezen, verlies, verliest, verliest, verliezen, verloor, verloren
winnen, win, wint, wint, winnen, won, gewonnen
veranderen, verander, verandert, verandert, veranderen, veranderde, veranderd
houden van, houd van, houdt van, houdt van, houden van, hield van, gehouden van
leggen, leg, legt, legt, leggen, legde, gelegd
stellen, stel, stelt, stelt, stellen, stelde, gesteld
schijnen, schijn, schijnt, schijnt, schijnen, scheen, geschenen
blijven, blijf, blijft, blijft
