A batterij zwak	Geen kracht meer
A blub ya!	Hou je bek!
A boeng	Goed (het is)
A boi	Jongeman
A dobbo!	Donder op!
A jonkie	Junk (een)
A jump	Vechtpartij
A mang echt	Hij is goed
A mos!	Hé gozer!
A saḥbi	Vriend
A sma spang	Ze is lekker
A zwempie	Sukkel
Aaai	Oké
Aaboo	Niet echt belangrijk
Aaight	Oké dan
Aaigo	Het gaat wel
Aait	Wreed
Aaker	Saai
Aanpappen	Flirten
Aanstoekoe	Aansteker
Aarsbanaan	Sukkel
Aarshoofdbatser	Eikel
Aas	Gierigaard
Aata	Sukkels
AA-town	Haarlem
Abandjana!	Donder op!
Abbe	Vader
Abbedie	Buitenlander
Abbo	Abonnement
Abbuhalen	Later
ABC-er	Amsterdamse beroepscrimineel
Abdal	Leeg hoofd
Abdi	Malloot
Abee	Vriend
Abi	Broer
Abie	Kerel
Adham	Player
Affoe	Laatste hijsje van een sigaret
Afoe	Beetje
Afoe	Half
Afoe	Trekje
Aftanken	Veel drinken
Aftjappen	Afhouden
Agga	Den Haag
Aight	Beter
Aight	Goed
Aightz	Goed
Aightz	Oké
Air bags	Borsten (grote)
Airbags	Borsten (grote)
Aks	Vraag
Alles chill?	Alles goed?
Alli	Almere
Amo	Amersfoort
Ams	Meisje
Ankeren	Vrijen
Anoe	Hand
Anoesaj	Oh nee he
Anoeska	Masturberen (man)
Anti	Antilliaan
Anyway	Maar ja
Apa kabar?	Hoe gaat het?
Appa	Dronken
Appie	Albert Heijn
A-relax	Niet fijn
Armo	Armeen
Asie	Hasj
Assie	Hasj
A-town	Amerongen
Atta	Friet
Atti	Pet
A-veen	Amstelveen
Baafen	Blowen
Baba	Godfather
Baby boe	Liefje
Babylon	Politie
Bai kas	Naar huis
Baik	Goed
Bajes	Gevangenis
Bakaptaka	Vrijen (van achteren)
Bakka	Klap
Bakkeluloe	Hasj
Bakmeel	Coke
Bakra	Nederlander
Bakroe	Kwade geest
Balanda	Nederland
Balizie	Politie
Ballen	Vrijen
Ballie pattas	Voetbalschoen
Balu	Shit zeg
Balu?	Waarom dan?
Banamba	Dans
Bananas	Hip
Bananas	Modern
Bangsa	Volk
Baniz	Goed
Bankoe	Vijftig euro
Bantie	Dronken
Barew	Hoi
Barkie	Honderd euro
Batas	Schoenen
Batten	Slaan
Bazon	Nietsgunner
Bazz	Hasj
B-boy	Breakdancer
B-Boys	Toffe jongens
Beatrix	Euro
Beckenbauer	Iemand met een opvallend brede mond
Beef	Ruzie
Beemer	BMW
Beest	Goed
BEMPI	BMW
Ben je lauw?	Ben je gek?
Bengschede	Enschede
Benoekoe	Beneden
Benzibox	Autoradio
Beren	Aanklagen
Beveri	Beverwaard
Biatch	Bitch
Biatch	Kreng
Bibi Binzi	Mercedes
Bierie	Bier
Bigi anu	Baas (d)
Bigi fasi	Kapsones
Bijgogem	Bijdehandje
Bika	Fiets
Bikoe	Fiets
Billenmattie	Beste vriend
Bimre	Bijlmer
Bims	Bijlmer
Bitch	Kreng
Bla	Bullshit
Blackatoly	Waterpistool
Blanda	Nederlands
Blaster	Geweer
Blauw	Politie
Blazen	Roken
Blemmen	Verraden
Bling bin	Juwelen
Blok	Sukkel
Blood	Vriend
Blunt	Joint
Bo slecta	Goede plaat
Bobs	Borsten
Boeëreleute	Flauwe humor
Boega	Oké is goed
Boeken	Hard rijden
Boeken	Rijden
Boeken	Wegrennen
Boeler	Homo
Boeloe	Gek
Boeng	Goed
Boeshoem	Stinkende persoon
Bokonko geven	Iemand in elkaar slaan
Boks	Hand geven
Bolletje	Dik persoon
Bon	Goed
Boneles	Slappeling
Bonken	Gooien
Booka	Respect
Boren	Liegen
Bossen	Slaan
Bossie	Kus
Bounty	Een zwarte die zich wit gedraagt
Boycot	Laten
Brada	Broe(de)r
Brada	Vriend
Bradaz	Vrienden
Brainwash	Gek
Brakka	Broek
Brakka	Inbraak
Brasa	Omhelzen
Breeka	Aansteker
Breetie	Blij
Brentje	Nieuw
Brikka	Aansteker
Broeia	Boos
Broeia	Moeilijk
Broenoe	Bruin
Broenoe	Heroïne
Brokken	Iemand standje geven
Broodje	Dik persoon
Broski	Broe(de)r
Bruya	Opgefokt
Buit	Geld
Cala boca!	Hou je mond?
Capish?	Begrepen?
Centje	Centraal Station
Challa	Tot ziens
Challas	Doei
Chan chan	Billen
Cheese	Geld
Chick	Meisje
Chick(ie)	Meisje
Chickie	Lekker ding
Chickie	Meisje (mooi)
Chicky	Meisje (mooi)
Chiemi	Kreng
Chieren	Slaan
Chigga	Chinees die zich als zwarte voordoet
Chikie	Meisje (mooi)
Chillen	Relaxen
Chillen	Rondhangen
Chimeid	Meisje
Chimeid	Meisje (mooi)
Chimeid	Vriendin
Chiney	Chinees
Ching chawa	Kwartje
Chinoe	Chinees
Chioeka	Slet
Choken	Blowen
Choppen	Vrijen
Chronic	Hasj
Click	Gang
Click	Groep
Come again	Herhaling
Commadant	Agent
Como esta?	Hoe gaat het?
Compadre	Kameraad
Condoekoe	Conducteur
Conjo	Kut
Conjo	Vagina
Conta?	Hoe gaat het?
Coulie	Gek
Crêmtje	IJsje
Curva	Meisje (mooi)
Cutty ranks	Wegwezen
Cuty	Meisje (mooi)
Da bomb	Het einde
Da don	Ik ben rijk
Daabse	Mongool
Dagga	Slapen
Daggoe	Hond
Dagoe	Hond
Dalijk	Straks
Dampoe	Scheet
Dampoe	Stank
Damsco Noord Side	Amsterdam-Noord
Damsko	Amsterdam
Dang	Straat
Debiel	Gek
Dede	Dood
Dede	Saai
Deisje	Rustig aan
Der af	Dronken
Derm	Mooi
Diddih	Dood
Dieken	Bemoeien
Dissen	Niet respectvol behandelen
Dissen	Voor aap zetten
Djaai	Negeeractie
Djaffen	Opscheppen
Djalla	Klant
Djie	Jongen
Djoeka	Aap
Djoeke	Steken
Djonko	Joint
Do	Geld
Doedoe	Mama
Doekoe	Geld
Doekoeloos	Geen geld
Doeshi	Schatje
Doezoe	Duizend euro
Dokken	Neergaan
Dolloise	Penis
Donnie	Tien euro
Doos	Vagina
Dope	Cool
Dope	Stoer
Dottie	Vies
Drerries	Broe(der)s
Drerries	Jongens
Droengoe	Dronken
Droog	Nep
Droppa	Dropbox
Droppen	Overvallen
Duhhh	Natuurlijk
Duhhh	Oud nieuws
Dummi	Gekkie
Dushi	Schatje
Dusji	Schatje
Dyna	Gruwelijk
Eindscko	Eindhoven
Etje	Sigaret
Ewa	Héé!
Ewa	Hey
Ewa	Hoi
Ey beter hou je (je) bek!	Houd onmiddellijk je mond dicht!
Ey man!	Hé gozer!
Fa’ka?	Hoe gaat het?
Fa2	Grapje
Fack af!	Houd je mond!
Facka	Geïrriteerd
Faja	Erg
Faja	Heel erg
Faja	Hot
Faja	Moeilijk
Faja	Zielig
Faka?	Alles goed?
Fake	Nep
Fakka?	Hoe gaat het?
Fakkel	Joint
Famiri	Gezin
Fassen	Aanraken
Fatoe	Grapje
Fatoe	Onzin
Fattoe	Grapje
Fawaka?	Alles goed?
Fawaka?	Hoe gaat het?
Faya	Vuur
Fesa	Feest
Feune	Hangen
Fissa	Feest
Fittie	Ruzie
Fitty	Vechten
Five ‘O	Politie
Flaka a tori	In de gaten houden
Flappie	Schatje
Flashen	In de maling nemen
Flex	Cool
Flex	Relax
Floes	Geld
Flokker op!	Donder op!
Flowa	Weggaan
Flowen	Versieren
Flutse	Mislukking
Fly	Cool
Fly	Knap
Flygirls	Meisje (mooi)
Fnitan?	Of niet dan?
Fo sho	Echt waar
Foeroe	Cool
Fok op	Vervelend
Fok op!	Ga weg!
Fonna	Mobieltje
For real	Echt waar
Fotto	Stad
Franco	Geld
Freak	Mafkees
Freeze	Blijf staan
Fromoe	Schiet op
Fucker	Klootzak
G	Meisje
Ga das!	Ga weg!
Ga loesoe!	Ga weg!
Gang	Bende
Ganga	Gruwelijk
Gangster	Stoere gast
Gannoe	Geweer
Ganoe	Geweert
Gardasj	Vriend
Gawi	Auto
Gedane zaak	Sletje
Gejenst	Gefopt
Gelakt	Betaald
Gerro	Sigaret
Gezze	Zeggen
Gi wan pingi	Geef een seintje
Gila	Euro
Giorgo	Man (de)
Ǧnoen	Gek
Ǧnoen	Hoofdpijn
Ǧnoen	Irritatie
Goldie	Aantrekkelijke vrouw
Goons	Gabbers
Goons	Straatsoldaten
Goud	Cool
Gramma	Oma
Grampa	Opa
Gratie	Wegwezen
Gravy	Cool
Griedie	Gierig
Grill	Gezicht
Groen	Wiet
Groene	Joint
Grontjie	Groningen
Gruwelijk	Moeilijk
Guap	Geld
Ǧwanat	Joint
Gymma	Sportschool
Haar a dang	Weggaan
Habibi	Liefje
Hadihoi	Hallo
Ham gaan	Los gaan
Hard	Vies
Hari	Masturberen (man)
He santi	Hoogezand
Hebimento	Geweldig
Herk	Sterk
Het doet	Cool
Het klapt	Het gaat goed
Hip	Stoer
Hizz	Slet
Hodeer niet	Verveel niet
Hoesoe	Huis
Holla	Tot ziens
Holler	Nu meteen
Hoofd	Fellatio
Hopy	Veel
Hosselen	Versieren
How’s life?	Hoe gaat het?
Ibahas	Politie
Ibeεash	Politie
Icecreaman	Dealer
Idi	Hoofd
Ie weinig	Je bent waardeloos
Iǧǧen	Een
Ik ga loessoe	Ik ga (ervandoor)
Ik word para	Ik word gek
Ill	Tof
Illest	Gaafst
In de flow zijn	In de beginfase van een relatie zijn
Inter	Boeiend
Inter	Cool
Ippa geven	Fellatio
Ippie	Politie
Jamma	Pispaal
Janken	Huilen
Jeh grabbing	Snappie?
Jiggy	Cool
Jilla	Gevangenis
Jirp	Tip
Jo	Hoi
Joepen	Vrijen
Joinen	Mee gaan
Joinen	Ondersteunen
Joint	Dik persoon
Joke	Grapje
Jonko	Joint
Joppe	Werken
Ju e lauw?	Ben je gek?
Juten	Politie
